connection,character1,character2
kryptonian,Superman,Supergirl
speedster,Flash,Quicksilver
billionaire,Batman,Ironman
blind,Daredevil,Toph Beifong
telepath,Professor X,Jean Grey
healing factor,Wolverine,Deadpool
archer,Green Arrow,Hawkeye
elemental control,Storm,Aang
shape-shifter,Mystique,Martian Manhunter
alien warrior,Thor,Wonder Woman
magic user,Doctor Strange,Zatanna
super soldier,Captain America,Deathstroke
genius inventor,Reed Richards,Tony Stark
animal powers,Beast Boy,Vixen
cosmic power,Silver Surfer,Green Lantern
anti-hero,Punisher,Red Hood
symbiote,Venom,Carnage
time traveler,Cable,Trunks
telekinesis,Scarlet Witch,Psylocke
immortal,Ra's al Ghul,Vandal Savage
fire control,Human Torch,Firestorm
ice control,Iceman,Killer Frost
martial artist,Shang-Chi,Iron Fist
super strength,Hulk,Juggernaut
invisibility,Susan Storm,Invisible Woman
sonic scream,Black Canary,Black Bolt
super strength,Superman,Homelander
